playerID,Seasons,fullName,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,SF,walks,BA,OBP,1B,SLUG,OPS,Position,PO,A,E,FP,Cy Young,Gold Glove,Hank Aaron,Most Valuable Player,Rolaids Relief Man Award,Rookie of the Year,Silver Slugger,ASG,inducted
aaronha01,23,Hank Aaron,3298,12364,2174,3771,624,98,755,2297.0,240.0,73.0,1402,1383.0,32.0,121.0,1434.0,0.305,0.374,2294,0.555,0.929,B,7436.0,429.0,144.0,0.98,0.0,3.0,0.0,1.0,0.0,0.0,0.0,24.0,Y
abbated01,10,Ed Abbaticchio,855,3044,355,772,99,43,11,324.0,142.0,0.0,289,283.0,33.0,0.0,322.0,0.254,0.325,619,0.325,0.65,B,1873.0,2368.0,315.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
abreubo01,20,Bobby Abreu,2425,8480,1453,2470,574,59,288,1363.0,400.0,128.0,1476,1840.0,33.0,85.0,1509.0,0.291,0.395,1549,0.475,0.87,B,3952.0,136.0,73.0,0.98,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,N
adairje01,15,Jerry Adair,1165,4019,378,1022,163,19,57,366.0,29.0,29.0,208,499.0,17.0,30.0,225.0,0.254,0.292,783,0.347,0.639,B,2380.0,2878.0,103.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
adamsbo03,15,Bobby Adams,1281,4019,591,1082,188,49,37,303.0,67.0,30.0,414,447.0,17.0,5.0,431.0,0.269,0.34,808,0.368,0.708,B,1748.0,2262.0,158.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
adamssp01,14,Sparky Adams,1424,5557,844,1588,249,48,9,394.0,154.0,50.0,453,223.0,28.0,0.0,481.0,0.286,0.343,1282,0.353,0.696,B,2287.0,3748.0,230.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
adcocjo01,17,Joe Adcock,1959,6606,823,1832,295,35,336,1122.0,20.0,25.0,594,1059.0,17.0,35.0,611.0,0.277,0.337,1166,0.485,0.822,B,13678.0,900.0,102.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,N
ageeto01,13,Tommie Agee,1129,3912,558,999,170,27,130,433.0,167.0,81.0,342,918.0,34.0,15.0,376.0,0.255,0.32,672,0.412,0.732,B,2371.0,53.0,61.0,0.98,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,N
ainsmed01,17,Eddie Ainsmith,1078,3048,299,707,108,54,22,317.0,86.0,16.0,263,336.0,12.0,0.0,275.0,0.232,0.296,523,0.324,0.62,B,4410.0,1088.0,193.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
alfoned01,13,Edgardo Alfonzo,1506,5385,777,1532,282,18,146,744.0,53.0,17.0,596,617.0,41.0,55.0,637.0,0.284,0.357,1086,0.425,0.782,B,1644.0,3022.0,106.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,N
