playerID,Seasons,fullName,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,R,IP,ERA,WHIP,K/9,K/BB,BAA,Position,PO,A,E,FP,Cy Young,Gold Glove,Hank Aaron,Most Valuable Player,Rolaids Relief Man Award,Rookie of the Year,Silver Slugger,ASG,inducted
aasedo01,13,Don Aase,66,60,448,91,22,5,82,3328,1085,468,89,457,641,503,1109.3,3.8,1.39,5.2,1.4,0.259,P,67,135,13.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N
abbotgl01,12,Glenn Abbott,62,83,248,206,37,5,0,3858,1405,627,162,352,484,707,1286.0,4.39,1.37,3.39,1.38,0.28,P,113,187,17.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
abbotji01,11,Jim Abbott,87,108,263,254,31,6,0,5022,1779,791,154,620,888,880,1674.0,4.25,1.43,4.77,1.43,0.276,P,72,300,9.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
abbotpa01,12,Paul Abbott,43,37,162,112,1,0,0,2162,682,394,101,393,496,421,720.7,4.92,1.49,6.19,1.26,0.25,P,61,76,6.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
abernte02,17,Ted Abernathy,63,69,681,34,7,2,148,3443,1010,441,70,592,765,513,1147.7,3.46,1.4,6.0,1.29,0.235,P,92,304,21.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
accarje01,10,Jeremy Accardo,10,20,262,0,0,0,38,854,288,136,24,111,205,143,284.7,4.3,1.4,6.48,1.85,0.266,P,13,35,1.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
aceveju01,10,Juan Acevedo,28,40,367,34,0,0,53,1710,597,274,72,226,350,316,570.0,4.33,1.44,5.53,1.55,0.274,P,42,68,8.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
ackerji01,12,Jim Acker,33,49,467,32,0,0,30,2713,918,399,82,329,482,447,904.3,3.97,1.38,4.8,1.47,0.267,P,73,161,2.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
adamsba01,19,Babe Adams,194,140,482,355,206,44,15,8986,2841,917,68,430,1036,1129,2995.3,2.76,1.09,3.11,2.41,0.248,P,58,648,17.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
adamste01,12,Terry Adams,51,62,574,41,0,0,42,2608,890,403,63,380,691,448,869.3,4.17,1.46,7.15,1.82,0.266,P,87,130,14.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
agostju01,15,Juan Agosto,40,33,543,2,0,0,29,1879,639,279,30,248,307,313,626.3,4.01,1.42,4.41,1.24,0.272,P,58,158,14.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
aguilri01,19,Rick Aguilera,86,81,732,89,10,0,318,3874,1233,512,138,351,1030,568,1291.3,3.57,1.23,7.18,2.93,0.251,P,99,177,5.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,N
aguirha01,16,Hank Aguirre,75,72,447,149,44,9,33,4127,1216,496,123,479,856,562,1375.7,3.24,1.23,5.6,1.79,0.231,P,48,167,28.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N
akerja01,14,Jack Aker,47,45,495,0,0,0,123,2238,679,272,64,274,404,312,746.0,3.28,1.28,4.87,1.47,0.244,P,65,167,8.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
aldresc01,12,Scott Aldred,20,39,229,67,1,0,1,1499,581,334,78,230,312,356,499.7,6.02,1.62,5.62,1.36,0.295,P,21,64,3.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
alexado01,23,Doyle Alexander,194,174,561,464,98,18,3,10103,3376,1406,324,978,1528,1541,3367.7,3.76,1.29,4.08,1.56,0.261,P,264,521,32.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N
alexape01,21,Pete Alexander,373,208,696,599,437,90,32,15570,4868,1476,164,951,2198,1851,5190.0,2.56,1.12,3.81,2.31,0.245,P,189,1419,25.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y
alfonan01,11,Antonio Alfonseca,35,37,592,0,0,0,129,1839,677,280,55,250,400,296,613.0,4.11,1.51,5.87,1.6,0.284,P,31,84,4.0,0.97,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,N
allenjo02,15,Johnny Allen,142,75,352,241,109,17,18,5851,1849,813,104,738,1070,924,1950.3,3.75,1.33,4.94,1.45,0.246,P,104,366,21.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N
allenne01,14,Neil Allen,58,70,434,59,7,6,75,2965,985,426,73,417,611,464,988.3,3.88,1.42,5.56,1.47,0.264,P,75,120,4.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
altroni01,21,Nick Altrock,83,75,218,161,128,16,7,4542,1455,445,16,272,425,600,1514.0,2.65,1.14,2.53,1.56,0.254,P,167,610,29.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
alvarwi01,15,Wilson Alvarez,102,92,355,263,12,5,4,5243,1624,769,190,805,1330,857,1747.7,3.96,1.39,6.85,1.65,0.248,P,58,215,8.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N
amesre01,20,Red Ames,183,167,533,368,209,26,36,9594,2896,934,42,1034,1702,1313,3198.0,2.63,1.23,4.79,1.65,0.242,P,107,1000,74.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
anderbr02,14,Brian Anderson,82,83,291,245,12,4,1,4641,1743,814,264,337,723,906,1547.0,4.74,1.34,4.21,2.15,0.287,P,76,313,18.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
anderla02,19,Larry Andersen,40,39,699,1,0,0,49,2986,932,348,58,311,758,402,995.3,3.15,1.25,6.85,2.44,0.249,P,97,151,25.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
andreiv01,10,Ivy Andrews,50,59,249,108,43,2,8,3123,1151,479,59,342,257,562,1041.0,4.14,1.43,2.22,0.75,0.274,P,30,174,9.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
andujjo01,14,Joaquin Andujar,127,118,405,305,68,19,9,6459,2016,857,155,731,1032,955,2153.0,3.58,1.28,4.31,1.41,0.25,P,142,437,54.0,0.91,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,N
ankieri01,13,Rick Ankiel,13,10,51,41,0,0,1,726,198,105,32,130,269,119,242.0,3.9,1.36,10.0,2.07,0.226,P,11,20,7.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
antonjo02,13,Johnny Antonelli,126,110,377,268,102,25,21,5977,1870,739,185,687,1162,860,1992.3,3.34,1.28,5.25,1.69,0.243,P,72,342,21.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,N
appieke01,18,Kevin Appier,169,137,414,402,34,12,0,7786,2425,1078,232,933,1994,1168,2595.3,3.74,1.29,6.91,2.14,0.247,P,202,225,12.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N
applepe01,17,Pete Appleton,57,66,341,71,34,6,26,3423,1187,545,76,486,420,667,1141.0,4.3,1.47,3.31,0.86,0.262,P,58,266,12.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
aquinlu01,10,Luis Aquino,31,32,222,69,5,3,5,2035,698,277,45,224,318,311,678.3,3.68,1.36,4.22,1.42,0.267,P,54,117,5.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
armasto02,10,Tony Armas,53,65,185,167,0,0,0,2777,891,478,122,431,680,519,925.7,4.65,1.43,6.61,1.58,0.255,P,59,115,5.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
arrigge01,11,Gerry Arrigo,35,40,194,80,9,3,4,1860,605,285,56,291,433,315,620.0,4.14,1.45,6.29,1.49,0.252,P,15,92,4.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
ashbyan01,16,Andy Ashby,98,110,309,285,21,7,1,5432,1857,829,205,540,1173,922,1810.7,4.12,1.32,5.83,2.17,0.268,P,131,265,11.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,N
assenpa01,16,Paul Assenmacher,61,44,884,1,0,0,56,2567,817,336,73,315,807,371,855.7,3.53,1.32,8.49,2.56,0.252,P,35,109,2.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
astacpe01,18,Pedro Astacio,129,124,392,343,31,12,0,6590,2292,1140,291,726,1664,1213,2196.7,4.67,1.37,6.82,2.29,0.271,P,189,293,14.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
augusje01,10,Jerry Augustine,55,59,279,104,27,6,11,2832,1028,444,87,340,348,491,944.0,4.23,1.45,3.32,1.02,0.281,P,33,146,7.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
aukerel01,10,Elden Auker,130,101,333,261,126,14,2,5890,2230,964,129,706,594,1106,1963.3,4.42,1.5,2.72,0.84,0.281,P,120,460,20.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
averyst01,11,Steve Avery,96,83,297,261,14,6,0,4664,1529,723,148,569,980,800,1554.7,4.19,1.35,5.67,1.72,0.259,P,63,302,13.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N
aybarma01,10,Manny Aybar,17,18,208,28,0,0,3,1173,413,222,49,172,273,244,391.0,5.11,1.5,6.28,1.59,0.271,P,30,47,3.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
ayersdo01,10,Doc Ayers,65,79,299,140,58,17,15,4286,1357,451,23,382,622,612,1428.7,2.84,1.22,3.92,1.63,0.257,P,64,354,39.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
baezda01,11,Danys Baez,40,57,533,26,1,0,114,2091,652,329,71,288,505,366,697.0,4.25,1.35,6.52,1.75,0.249,P,58,102,5.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,N
bagbyji02,10,Jim Bagby,97,96,303,198,84,13,9,4999,1815,733,98,608,431,849,1666.3,3.96,1.45,2.33,0.71,0.274,P,122,359,22.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,N
bahnsst01,19,Stan Bahnsen,146,149,574,327,73,16,20,7587,2440,1013,223,924,1359,1127,2529.0,3.6,1.33,4.84,1.47,0.254,P,154,414,35.0,0.94,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,N
bailebi01,12,Bill Bailey,38,76,203,117,70,8,0,3253,1035,430,20,527,570,593,1084.3,3.57,1.44,4.73,1.08,0.339,P,34,315,26.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
bairdo01,18,Doug Bair,55,43,584,5,0,0,81,2728,839,367,86,405,689,398,909.3,3.63,1.37,6.82,1.7,0.246,P,72,123,9.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N
